######## Chromosome chr1 #########

gene 1/5050 for chr1:	DDX11L1
gene 1450/2148 for chr10:	SNORA25
gene 1451/2148 for chr10:	SDHCP2
gene 1452/2148 for chr10:	EIF4A1P8
gene 1453/2148 for chr10:	CPEB3_ribozyme
gene 1454/2148 for chr10:	NHP2P1
gene 1455/2148 for chr10:	MARCH5
gene 1456/2148 for chr10:	RNY3P12
gene 1457/2148 for chr10:	MARK2P9
gene 1458/2148 for chr10:	IDE
gene 1459/2148 for chr10:	KIF11
gene 1460/2148 for chr10:	RP11-366I13.3
gene 1461/2148 for chr10:	RN7SL644P
gene 1462/2148 for chr10:	EIF2S2P3
gene 1463/2148 for chr10:	HHEX
gene 1464/2148 for chr10:	EXOC6
gene 1465/2148 for chr10:	RP11-477L16.2
gene 1466/2148 for chr10:	RP11-348J12.2
gene 1467/2148 for chr10:	CYP26C1
gene 1468/2148 for chr10:	RP11-348J12.5
gene 1469/2148 for chr10:	CYP26A1
gene 1470/2148 for chr10:	NIP7P1
gene 1471/2148 for chr10:	XRCC6P1
gene 1472/2148 for chr10:	RP11-624L12.1
gene 1473/2148 for chr10:	MYOF
gene 1474/2148 for chr10:	CEP55
gene 1475/2148 for chr10:	RNA5SP323
gene 1476/2148 for chr10:	FFAR4
gene 1477/2148 for chr10:	RBP4
gene 1478/2148 for chr10:	PDE6C
gene 1479/2148 for chr10:	FRA10AC1
gene 1480/2148 for chr10:	LGI1
gene 1481/2148 for chr10:	RP11-437J2.3
gene 1482/2148 for chr10:	RP11-437J2.4
gene 1483/2148 for chr10:	RAB11AP1
gene 1484/2148 for chr10:	SLC35G1
gene 1485/2148 for chr10:	PIPSL
gene 1486/2148 for chr10:	PLCE1
gene 1487/2148 for chr10:	PLCE1-AS2
gene 1488/2148 for chr10:	RP11-162K11.4
gene 1489/2148 for chr10:	HDAC1P1
gene 1490/2148 for chr10:	RNU6-657P
gene 1491/2148 for chr10:	RP11-391J2.3
gene 1492/2148 for chr10:	PLCE1-AS1
gene 1493/2148 for chr10:	RP11-76P2.4
gene 1494/2148 for chr10:	NOC3L
gene 1495/2148 for chr10:	TBC1D12
gene 1496/2148 for chr10:	HELLS
gene 1497/2148 for chr10:	RP11-119K6.6
gene 1498/2148 for chr10:	CTBP2P2
gene 1499/2148 for chr10:	CYP2C18
gene 1500/2148 for chr10:	RP11-400G3.5
gene 1501/2148 for chr10:	CYP2C19
gene 1502/2148 for chr10:	MTND4P19
gene 1503/2148 for chr10:	CYP2C58P
gene 1504/2148 for chr10:	RP11-400G3.3
gene 1505/2148 for chr10:	CYP2C9
gene 1506/2148 for chr10:	MTND4P20
gene 1507/2148 for chr10:	CYP2C59P
gene 1508/2148 for chr10:	CYP2C60P
gene 1509/2148 for chr10:	RP11-208C17.4
gene 1510/2148 for chr10:	CYP2C8
gene 1511/2148 for chr10:	RP11-310E22.5
gene 1512/2148 for chr10:	RP11-310E22.6
gene 1513/2148 for chr10:	PAWRP1
gene 1514/2148 for chr10:	ACSM6
gene 1515/2148 for chr10:	RP11-310E22.4
gene 1516/2148 for chr10:	PDLIM1
gene 1517/2148 for chr10:	SORBS1
gene 1518/2148 for chr10:	RP11-7D5.2
gene 1519/2148 for chr10:	ALDH18A1
gene 1520/2148 for chr10:	TCTN3
gene 1521/2148 for chr10:	ENTPD1
gene 1522/2148 for chr10:	ENTPD1-AS1
gene 1523/2148 for chr10:	RP11-429G19.3
gene 1524/2148 for chr10:	AL365273.1
gene 1525/2148 for chr10:	RP11-248J23.7
gene 1526/2148 for chr10:	CC2D2B
gene 1527/2148 for chr10:	RP11-248J23.5
gene 1528/2148 for chr10:	CCNJ
gene 1529/2148 for chr10:	MIR3157
gene 1530/2148 for chr10:	RNU6-271P
gene 1531/2148 for chr10:	ZNF518A
gene 1532/2148 for chr10:	NPM1P25
gene 1533/2148 for chr10:	BLNK
gene 1534/2148 for chr10:	RP11-35J23.1
gene 1535/2148 for chr10:	DNTT
gene 1536/2148 for chr10:	OPALIN
gene 1537/2148 for chr10:	TLL2
gene 1538/2148 for chr10:	TM9SF3
gene 1539/2148 for chr10:	NPM1P26
gene 1540/2148 for chr10:	PIK3AP1
gene 1541/2148 for chr10:	RNA5SP324
gene 1542/2148 for chr10:	RP11-34E5.4
gene 1543/2148 for chr10:	RNU6-1274P
gene 1544/2148 for chr10:	RPL13AP5
gene 1545/2148 for chr10:	MIR607
gene 1546/2148 for chr10:	LCOR
gene 1547/2148 for chr10:	HMGN2P35
gene 1548/2148 for chr10:	SLIT1
gene 1549/2148 for chr10:	SLIT1-AS1
gene 1550/2148 for chr10:	ARHGAP19-SLIT1
gene 1551/2148 for chr10:	ARHGAP19
gene 1552/2148 for chr10:	RP11-375N9.2
gene 1553/2148 for chr10:	RPL12P27
gene 1554/2148 for chr10:	FRAT1
gene 1555/2148 for chr10:	FRAT2
gene 1556/2148 for chr10:	RP11-452K12.4
gene 1557/2148 for chr10:	RRP12
gene 1558/2148 for chr10:	RP11-452K12.6
gene 1559/2148 for chr10:	RP11-452K12.7
gene 1560/2148 for chr10:	PGAM1
gene 1561/2148 for chr10:	EXOSC1
gene 1562/2148 for chr10:	ZDHHC16
gene 1563/2148 for chr10:	MMS19
gene 1564/2148 for chr10:	UBTD1
gene 1565/2148 for chr10:	ANKRD2
gene 1566/2148 for chr10:	HOGA1
gene 1567/2148 for chr10:	RP11-548K23.11
gene 1568/2148 for chr10:	C10orf62
gene 1569/2148 for chr10:	MORN4
gene 1570/2148 for chr10:	PI4K2A
gene 1571/2148 for chr10:	AVPI1
gene 1572/2148 for chr10:	MARVELD1
gene 1573/2148 for chr10:	ZFYVE27
gene 1574/2148 for chr10:	SFRP5
gene 1575/2148 for chr10:	LINC00866
gene 1576/2148 for chr10:	GOLGA7B
gene 1577/2148 for chr10:	CRTAC1
gene 1578/2148 for chr10:	AL355301.1
gene 1579/2148 for chr10:	R3HCC1L
gene 1580/2148 for chr10:	LOXL4
gene 1581/2148 for chr10:	RP11-34A14.3
gene 1582/2148 for chr10:	PYROXD2
gene 1583/2148 for chr10:	HPS1
gene 1584/2148 for chr10:	MIR4685
gene 1585/2148 for chr10:	HPSE2
gene 1586/2148 for chr10:	MIR6507
gene 1587/2148 for chr10:	ARL5AP2
gene 1588/2148 for chr10:	RPL7P36
gene 1589/2148 for chr10:	CNNM1
gene 1590/2148 for chr10:	GOT1
gene 1591/2148 for chr10:	RP11-441O15.3
gene 1592/2148 for chr10:	LINC01475
gene 1593/2148 for chr10:	RP11-129J12.1
gene 1594/2148 for chr10:	NKX2-3
gene 1595/2148 for chr10:	SLC25A28
gene 1596/2148 for chr10:	RP11-85A1.3
gene 1597/2148 for chr10:	RP11-483F11.7
gene 1598/2148 for chr10:	ENTPD7
gene 1599/2148 for chr10:	EBAG9P1
gene 1600/2148 for chr10:	CUTC
gene 1601/2148 for chr10:	COX15
gene 1602/2148 for chr10:	ABCC2
gene 1603/2148 for chr10:	NANOGP6
gene 1604/2148 for chr10:	DNMBP
gene 1605/2148 for chr10:	DNMBP-AS1
gene 1606/2148 for chr10:	CPN1
gene 1607/2148 for chr10:	Cyp2c44
gene 1608/2148 for chr10:	TPM4P1
gene 1609/2148 for chr10:	RP11-316M21.9
gene 1610/2148 for chr10:	ERLIN1
gene 1611/2148 for chr10:	CHUK
gene 1612/2148 for chr10:	RP11-316M21.7
gene 1613/2148 for chr10:	RP11-316M21.6
gene 1614/2148 for chr10:	CWF19L1
gene 1615/2148 for chr10:	SNORA12
gene 1616/2148 for chr10:	PHBP9
gene 1617/2148 for chr10:	RNU6-422P
gene 1618/2148 for chr10:	BLOC1S2
gene 1619/2148 for chr10:	PKD2L1
gene 1620/2148 for chr10:	RP11-34D15.2
gene 1621/2148 for chr10:	SCD
gene 1622/2148 for chr10:	OLMALINC
gene 1623/2148 for chr10:	RP11-285F16.1
gene 1624/2148 for chr10:	WNT8B
gene 1625/2148 for chr10:	SEC31B
gene 1626/2148 for chr10:	RP11-411B6.6
gene 1627/2148 for chr10:	NDUFB8
gene 1628/2148 for chr10:	HIF1AN
gene 1629/2148 for chr10:	PAX2
gene 1630/2148 for chr10:	RP11-179B2.2
gene 1631/2148 for chr10:	SLF2
gene 1632/2148 for chr10:	RP11-108L7.14
gene 1633/2148 for chr10:	MRPL43
gene 1634/2148 for chr10:	SEMA4G
gene 1635/2148 for chr10:	MIR608
gene 1636/2148 for chr10:	RP11-108L7.4
gene 1637/2148 for chr10:	C10orf2
gene 1638/2148 for chr10:	LZTS2
gene 1639/2148 for chr10:	PDZD7
gene 1640/2148 for chr10:	SFXN3
gene 1641/2148 for chr10:	RP11-108L7.15
gene 1642/2148 for chr10:	KAZALD1
gene 1643/2148 for chr10:	TLX1NB
gene 1644/2148 for chr10:	TLX1
gene 1645/2148 for chr10:	LINC01514
gene 1646/2148 for chr10:	SMARCE1P7
gene 1647/2148 for chr10:	LBX1
gene 1648/2148 for chr10:	LBX1-AS1
gene 1649/2148 for chr10:	RP11-107I14.4
gene 1650/2148 for chr10:	RNU2-43P
gene 1651/2148 for chr10:	RP11-107I14.2
gene 1652/2148 for chr10:	RP11-107I14.5
gene 1653/2148 for chr10:	BTRC
gene 1654/2148 for chr10:	RNU2-59P
gene 1655/2148 for chr10:	DPCD
gene 1656/2148 for chr10:	POLL
gene 1657/2148 for chr10:	MIR3158-1
gene 1658/2148 for chr10:	hsa-mir-3158-1
gene 1659/2148 for chr10:	FBXW4
gene 1660/2148 for chr10:	RNU6-1165P
gene 1661/2148 for chr10:	RP11-190J1.3
gene 1662/2148 for chr10:	FGF8
gene 1663/2148 for chr10:	NPM3
gene 1664/2148 for chr10:	MGEA5
gene 1665/2148 for chr10:	KCNIP2-AS1
gene 1666/2148 for chr10:	KCNIP2
gene 1667/2148 for chr10:	C10orf76
gene 1668/2148 for chr10:	HPS6
gene 1669/2148 for chr10:	RP11-302K17.3
gene 1670/2148 for chr10:	RP11-302K17.4
gene 1671/2148 for chr10:	LDB1
gene 1672/2148 for chr10:	PPRC1
gene 1673/2148 for chr10:	NOLC1
gene 1674/2148 for chr10:	ELOVL3
gene 1675/2148 for chr10:	PITX3
gene 1676/2148 for chr10:	GBF1
gene 1677/2148 for chr10:	NFKB2
gene 1678/2148 for chr10:	PSD
gene 1679/2148 for chr10:	FBXL15
gene 1680/2148 for chr10:	CUEDC2
gene 1681/2148 for chr10:	MIR146B
gene 1682/2148 for chr10:	RPARP-AS1
gene 1683/2148 for chr10:	C10orf95
gene 1684/2148 for chr10:	MFSD13A
gene 1685/2148 for chr10:	ACTR1A
gene 1686/2148 for chr10:	RP11-18I14.11
gene 1687/2148 for chr10:	SUFU
gene 1688/2148 for chr10:	RPL23AP58
gene 1689/2148 for chr10:	RNU6-43P
gene 1690/2148 for chr10:	RP11-47A8.5
gene 1691/2148 for chr10:	TRIM8
gene 1692/2148 for chr10:	ARL3
gene 1693/2148 for chr10:	SFXN2
gene 1694/2148 for chr10:	WBP1L
gene 1695/2148 for chr10:	RNU6-1231P
gene 1696/2148 for chr10:	CYP17A1
gene 1697/2148 for chr10:	CYP17A1-AS1
gene 1698/2148 for chr10:	PFN1P11
gene 1699/2148 for chr10:	PTGES3P4
gene 1700/2148 for chr10:	RP11-753C18.12
gene 1701/2148 for chr10:	BORCS7
gene 1702/2148 for chr10:	BORCS7-ASMT
gene 1703/2148 for chr10:	U6
gene 1704/2148 for chr10:	AS3MT
gene 1705/2148 for chr10:	RP11-753C18.8
gene 1706/2148 for chr10:	RP11-724N1.1
gene 1707/2148 for chr10:	CNNM2
gene 1708/2148 for chr10:	NT5C2
gene 1709/2148 for chr10:	RP11-332O19.2
gene 1710/2148 for chr10:	MARCKSL1P1
gene 1711/2148 for chr10:	ST13P13
gene 1712/2148 for chr10:	RPEL1
gene 1713/2148 for chr10:	INA
gene 1714/2148 for chr10:	PCGF6
gene 1715/2148 for chr10:	RNU11-3P
gene 1716/2148 for chr10:	TAF5
gene 1717/2148 for chr10:	USMG5
gene 1718/2148 for chr10:	PDCD11
gene 1719/2148 for chr10:	CALHM2
gene 1720/2148 for chr10:	RP11-225H22.7
gene 1721/2148 for chr10:	RP11-225H22.4
gene 1722/2148 for chr10:	CALHM1
gene 1723/2148 for chr10:	CALHM3
gene 1724/2148 for chr10:	NEURL1-AS1
gene 1725/2148 for chr10:	NEURL1
gene 1726/2148 for chr10:	RP11-416N2.3
gene 1727/2148 for chr10:	SH3PXD2A
gene 1728/2148 for chr10:	RP11-416N2.4
gene 1729/2148 for chr10:	SH3PXD2A-AS1
gene 1730/2148 for chr10:	RP11-541N10.3
gene 1731/2148 for chr10:	OBFC1
gene 1732/2148 for chr10:	SLK
gene 1733/2148 for chr10:	RN7SL524P
gene 1734/2148 for chr10:	COL17A1
gene 1735/2148 for chr10:	SFR1
gene 1736/2148 for chr10:	CFAP43
gene 1737/2148 for chr10:	MIR609
gene 1738/2148 for chr10:	GSTO1
gene 1739/2148 for chr10:	MIR4482
gene 1740/2148 for chr10:	GSTO2
gene 1741/2148 for chr10:	ITPRIP
gene 1742/2148 for chr10:	RP11-127L20.5
gene 1743/2148 for chr10:	RP11-127L20.3
gene 1744/2148 for chr10:	CFAP58-AS1
gene 1745/2148 for chr10:	CFAP58
gene 1746/2148 for chr10:	RP11-127O4.3
gene 1747/2148 for chr10:	RP11-127O4.2
gene 1748/2148 for chr10:	SORCS3
gene 1749/2148 for chr10:	SORCS3-AS1
gene 1750/2148 for chr10:	RNU6-463P
gene 1751/2148 for chr10:	RP11-45P22.2
gene 1752/2148 for chr10:	YWHAZP5
gene 1753/2148 for chr10:	RP11-56I23.1
gene 1754/2148 for chr10:	RP11-298H24.1
gene 1755/2148 for chr10:	RPL23AP59
gene 1756/2148 for chr10:	SORCS1
gene 1757/2148 for chr10:	RNA5SP325
gene 1758/2148 for chr10:	RNA5SP326
gene 1759/2148 for chr10:	LINC01435
gene 1760/2148 for chr10:	PTGES3P5
gene 1761/2148 for chr10:	RP11-163F15.1
gene 1762/2148 for chr10:	RP11-655H13.2
gene 1763/2148 for chr10:	MAPKAPK5P1
gene 1764/2148 for chr10:	RN7SKP278
gene 1765/2148 for chr10:	RNU5B-6P
gene 1766/2148 for chr10:	RNU6-839P
gene 1767/2148 for chr10:	PHB2P1
gene 1768/2148 for chr10:	BTF3P15
gene 1769/2148 for chr10:	RP11-566F5.2
gene 1770/2148 for chr10:	RP11-566F5.1
gene 1771/2148 for chr10:	RP11-451M19.2
gene 1772/2148 for chr10:	XPNPEP1
gene 1773/2148 for chr10:	RNU4-5P
gene 1774/2148 for chr10:	ADD3-AS1
gene 1775/2148 for chr10:	ADD3
gene 1776/2148 for chr10:	SNRPGP12
gene 1777/2148 for chr10:	MXI1
gene 1778/2148 for chr10:	RP11-549L6.3
gene 1779/2148 for chr10:	RP11-549L6.2
gene 1780/2148 for chr10:	SMNDC1
gene 1781/2148 for chr10:	RP11-525A16.4
gene 1782/2148 for chr10:	HMGB3P5
gene 1783/2148 for chr10:	DUSP5
gene 1784/2148 for chr10:	RPL7P35
gene 1785/2148 for chr10:	SMC3
gene 1786/2148 for chr10:	RBM20
gene 1787/2148 for chr10:	RN7SKP288
gene 1788/2148 for chr10:	RNA5SP327
gene 1789/2148 for chr10:	RP11-313D6.3
gene 1790/2148 for chr10:	PDCD4-AS1
gene 1791/2148 for chr10:	PDCD4
gene 1792/2148 for chr10:	BBIP1
gene 1793/2148 for chr10:	RP11-348N5.9
gene 1794/2148 for chr10:	RP11-348N5.7
gene 1795/2148 for chr10:	SHOC2
gene 1796/2148 for chr10:	RPL13AP6
gene 1797/2148 for chr10:	MIR548E
gene 1798/2148 for chr10:	ADRA2A
gene 1799/2148 for chr10:	RP11-479A21.1
gene 1800/2148 for chr10:	BTBD7P2
gene 1801/2148 for chr10:	RP11-381K7.1
gene 1802/2148 for chr10:	RP11-309P22.1
gene 1803/2148 for chr10:	GPAM
gene 1804/2148 for chr10:	TECTB
gene 1805/2148 for chr10:	MIR6715A
gene 1806/2148 for chr10:	MIR6715B
gene 1807/2148 for chr10:	GUCY2GP
gene 1808/2148 for chr10:	ACSL5
gene 1809/2148 for chr10:	RP11-324O2.3
gene 1810/2148 for chr10:	ZDHHC6
gene 1811/2148 for chr10:	VTI1A
gene 1812/2148 for chr10:	RP11-214N15.5
gene 1813/2148 for chr10:	MIR4295
gene 1814/2148 for chr10:	RP11-25C19.3
gene 1815/2148 for chr10:	RP11-57H14.4
gene 1816/2148 for chr10:	RP11-57H14.5
gene 1817/2148 for chr10:	RP11-57H14.3
gene 1818/2148 for chr10:	TCF7L2
gene 1819/2148 for chr10:	RP11-57H14.2
gene 1820/2148 for chr10:	RP11-139K1.2
gene 1821/2148 for chr10:	RNU7-165P
gene 1822/2148 for chr10:	RP11-481H12.1
gene 1823/2148 for chr10:	HABP2
gene 1824/2148 for chr10:	NRAP
gene 1825/2148 for chr10:	CASP7
gene 1826/2148 for chr10:	RP11-211N11.5
gene 1827/2148 for chr10:	PLEKHS1
gene 1828/2148 for chr10:	MIR4483
gene 1829/2148 for chr10:	SNORA17
gene 1830/2148 for chr10:	DCLRE1A
gene 1831/2148 for chr10:	NHLRC2
gene 1832/2148 for chr10:	ADRB1
gene 1833/2148 for chr10:	RNU6-709P
gene 1834/2148 for chr10:	UBE2V1P5
gene 1835/2148 for chr10:	CCDC186
gene 1836/2148 for chr10:	Hammerhead_HH10
gene 1837/2148 for chr10:	TDRD1
gene 1838/2148 for chr10:	VWA2
gene 1839/2148 for chr10:	CTB-1144G6.5
gene 1840/2148 for chr10:	CTB-1144G6.6
gene 1841/2148 for chr10:	AFAP1L2
gene 1842/2148 for chr10:	RN7SL384P
gene 1843/2148 for chr10:	RP11-317F20.3
gene 1844/2148 for chr10:	ABLIM1
gene 1845/2148 for chr10:	RP11-317F20.2
gene 1846/2148 for chr10:	PPIAP19
gene 1847/2148 for chr10:	RP11-106M7.1
gene 1848/2148 for chr10:	TAF9BP2
gene 1849/2148 for chr10:	FAM160B1
gene 1850/2148 for chr10:	RP11-106M7.4
gene 1851/2148 for chr10:	TRUB1
gene 1852/2148 for chr10:	RNU6-1121P
gene 1853/2148 for chr10:	RP11-383C6.2
gene 1854/2148 for chr10:	ATRNL1
gene 1855/2148 for chr10:	RP11-169K19.1
gene 1856/2148 for chr10:	GFRA1
gene 1857/2148 for chr10:	CCDC172
gene 1858/2148 for chr10:	SNRPGP6
gene 1859/2148 for chr10:	PNLIPRP3
gene 1860/2148 for chr10:	HMGB3P8
gene 1861/2148 for chr10:	RNU6-1090P
gene 1862/2148 for chr10:	PNLIP
gene 1863/2148 for chr10:	PNLIPP1
gene 1864/2148 for chr10:	PNLIPRP1
gene 1865/2148 for chr10:	PNLIPRP2
gene 1866/2148 for chr10:	C10orf82
gene 1867/2148 for chr10:	RP11-498B4.5
gene 1868/2148 for chr10:	HSPA12A
gene 1869/2148 for chr10:	RPL5P27
gene 1870/2148 for chr10:	RP11-539I5.1
gene 1871/2148 for chr10:	ENO4
gene 1872/2148 for chr10:	SHTN1
gene 1873/2148 for chr10:	AC023283.1
gene 1874/2148 for chr10:	RP11-5G18.2
gene 1875/2148 for chr10:	VAX1
gene 1876/2148 for chr10:	MIR3663HG
gene 1877/2148 for chr10:	MIR3663
gene 1878/2148 for chr10:	RPL12P26
gene 1879/2148 for chr10:	KCNK18
gene 1880/2148 for chr10:	RP11-501J20.5
gene 1881/2148 for chr10:	SLC18A2
gene 1882/2148 for chr10:	RP11-129M16.4
gene 1883/2148 for chr10:	PDZD8
gene 1884/2148 for chr10:	CTA-109P11.4
gene 1885/2148 for chr10:	EMX2OS
gene 1886/2148 for chr10:	EMX2
gene 1887/2148 for chr10:	CTA-109P11.1
gene 1888/2148 for chr10:	RP11-328K15.1
gene 1889/2148 for chr10:	RP11-355F22.1
gene 1890/2148 for chr10:	RAB11FIP2
gene 1891/2148 for chr10:	RP11-354M20.3
gene 1892/2148 for chr10:	CASC2
gene 1893/2148 for chr10:	RP11-245J24.1
gene 1894/2148 for chr10:	FAM204A
gene 1895/2148 for chr10:	LINC00867
gene 1896/2148 for chr10:	SLC25A18P1
gene 1897/2148 for chr10:	PRLHR
gene 1898/2148 for chr10:	TOMM22P5
gene 1899/2148 for chr10:	CACUL1
gene 1900/2148 for chr10:	RP11-427L15.2
gene 1901/2148 for chr10:	RP11-215A21.2
gene 1902/2148 for chr10:	LDHAP5
gene 1903/2148 for chr10:	RP11-498J9.2
gene 1904/2148 for chr10:	NANOS1
gene 1905/2148 for chr10:	EIF3A
gene 1906/2148 for chr10:	SNORA19
gene 1907/2148 for chr10:	RP11-435O11.5
gene 1908/2148 for chr10:	FAM45A
gene 1909/2148 for chr10:	SFXN4
gene 1910/2148 for chr10:	PRDX3
gene 1911/2148 for chr10:	GRK5
gene 1912/2148 for chr10:	GRK5-IT1
gene 1913/2148 for chr10:	RN7SL749P
gene 1914/2148 for chr10:	RP11-79M19.2
gene 1915/2148 for chr10:	MIR4681
gene 1916/2148 for chr10:	RGS10
gene 1917/2148 for chr10:	RP11-179H18.8
gene 1918/2148 for chr10:	TIAL1
gene 1919/2148 for chr10:	RAD1P1
gene 1920/2148 for chr10:	RP11-179H18.5
gene 1921/2148 for chr10:	BAG3
gene 1922/2148 for chr10:	TXNP1
gene 1923/2148 for chr10:	INPP5F
gene 1924/2148 for chr10:	RN7SL846P
gene 1925/2148 for chr10:	PHACTR2P1
gene 1926/2148 for chr10:	RP11-359E7.3
gene 1927/2148 for chr10:	MCMBP
gene 1928/2148 for chr10:	SEC23IP
gene 1929/2148 for chr10:	MIR4682
gene 1930/2148 for chr10:	NACAP2
gene 1931/2148 for chr10:	RP11-781P14.3
gene 1932/2148 for chr10:	RP11-572P18.1
gene 1933/2148 for chr10:	RP11-572P18.2
gene 1934/2148 for chr10:	PLPP4
gene 1935/2148 for chr10:	LINC01561
gene 1936/2148 for chr10:	WDR11-AS1
gene 1937/2148 for chr10:	RP11-323P17.2
gene 1938/2148 for chr10:	WDR11
gene 1939/2148 for chr10:	RP11-95I16.4
gene 1940/2148 for chr10:	RP11-95I16.2
gene 1941/2148 for chr10:	RP11-95I16.6
gene 1942/2148 for chr10:	RP11-159H3.1
gene 1943/2148 for chr10:	LINC01153
gene 1944/2148 for chr10:	RN7SKP167
gene 1945/2148 for chr10:	FGFR2
gene 1946/2148 for chr10:	RP11-62L18.3
gene 1947/2148 for chr10:	RPS15AP5
gene 1948/2148 for chr10:	RP11-78A18.2
gene 1949/2148 for chr10:	ATE1
gene 1950/2148 for chr10:	ATE1-AS1
gene 1951/2148 for chr10:	ZNRD1-AS1_2
gene 1952/2148 for chr10:	RP11-500G22.4
gene 1953/2148 for chr10:	NSMCE4A
gene 1954/2148 for chr10:	RP11-500G22.5
gene 1955/2148 for chr10:	TACC2
gene 1956/2148 for chr10:	BTBD16
gene 1957/2148 for chr10:	RNU6-728P
gene 1958/2148 for chr10:	PLEKHA1
gene 1959/2148 for chr10:	MIR3941
gene 1960/2148 for chr10:	ARMS2
gene 1961/2148 for chr10:	HTRA1
gene 1962/2148 for chr10:	DMBT1
gene 1963/2148 for chr10:	RP11-481L19.3
gene 1964/2148 for chr10:	RP11-481L19.2
gene 1965/2148 for chr10:	C10orf120
gene 1966/2148 for chr10:	DMBT1P1
gene 1967/2148 for chr10:	RP11-107C16.2
gene 1968/2148 for chr10:	CUZD1
gene 1969/2148 for chr10:	FAM24B
gene 1970/2148 for chr10:	RP11-564D11.3
gene 1971/2148 for chr10:	FAM24A
gene 1972/2148 for chr10:	C10orf88
gene 1973/2148 for chr10:	PSTK
gene 1974/2148 for chr10:	IKZF5
gene 1975/2148 for chr10:	ACADSB
gene 1976/2148 for chr10:	HMX3
gene 1977/2148 for chr10:	HMX2
gene 1978/2148 for chr10:	BUB3
gene 1979/2148 for chr10:	RP11-162A23.5
gene 1980/2148 for chr10:	RP11-338O1.3
gene 1981/2148 for chr10:	RP11-282I1.1
gene 1982/2148 for chr10:	RP11-338O1.2
gene 1983/2148 for chr10:	RP11-282I1.2
gene 1984/2148 for chr10:	GPR26
gene 1985/2148 for chr10:	CPXM2
gene 1986/2148 for chr10:	RP11-391M7.3
gene 1987/2148 for chr10:	RP11-285A18.2
gene 1988/2148 for chr10:	YBX2P1
gene 1989/2148 for chr10:	RP11-47G11.2
gene 1990/2148 for chr10:	CHST15
gene 1991/2148 for chr10:	OAT
gene 1992/2148 for chr10:	NKX1-2
gene 1993/2148 for chr10:	RP13-238F13.3
gene 1994/2148 for chr10:	LHPP
gene 1995/2148 for chr10:	RPS10P18
gene 1996/2148 for chr10:	RP11-12J10.3
gene 1997/2148 for chr10:	FAM53B
gene 1998/2148 for chr10:	RP11-12J10.4
gene 1999/2148 for chr10:	FAM53B-AS1
gene 2000/2148 for chr10:	METTL10
gene 2001/2148 for chr10:	FAM175B
gene 2002/2148 for chr10:	NPM1P31
gene 2003/2148 for chr10:	RP11-298J20.4
gene 2004/2148 for chr10:	ZRANB1
gene 2005/2148 for chr10:	RP11-298J20.3
gene 2006/2148 for chr10:	CTBP2
gene 2007/2148 for chr10:	RP11-59C5.3
gene 2008/2148 for chr10:	MIR4296
gene 2009/2148 for chr10:	RP11-151A10.3
gene 2010/2148 for chr10:	MRPS21P6
gene 2011/2148 for chr10:	RPS27P18
gene 2012/2148 for chr10:	TEX36-AS1
gene 2013/2148 for chr10:	TEX36
gene 2014/2148 for chr10:	ALDOAP2
gene 2015/2148 for chr10:	RP11-383C5.3
gene 2016/2148 for chr10:	FLJ37035
gene 2017/2148 for chr10:	RP11-383C5.8
gene 2018/2148 for chr10:	RP11-383C5.5
gene 2019/2148 for chr10:	EDRF1
gene 2020/2148 for chr10:	EDRF1-AS1
gene 2021/2148 for chr10:	MMP21
gene 2022/2148 for chr10:	UROS
gene 2023/2148 for chr10:	MIR4484
gene 2024/2148 for chr10:	BCCIP
gene 2025/2148 for chr10:	DHX32
gene 2026/2148 for chr10:	RNU2-42P
gene 2027/2148 for chr10:	FANK1
gene 2028/2148 for chr10:	GNG10P1
gene 2029/2148 for chr10:	FANK1-AS1
gene 2030/2148 for chr10:	ADAM12
gene 2031/2148 for chr10:	RNA5SP328
gene 2032/2148 for chr10:	RP11-81B10.2
gene 2033/2148 for chr10:	LINC00601
gene 2034/2148 for chr10:	C10orf90
gene 2035/2148 for chr10:	SNORD60
gene 2036/2148 for chr10:	DOCK1
gene 2037/2148 for chr10:	RP11-223P11.3
gene 2038/2148 for chr10:	RP11-223P11.2
gene 2039/2148 for chr10:	FAM196A
gene 2040/2148 for chr10:	NPS
gene 2041/2148 for chr10:	RP11-288A5.2
gene 2042/2148 for chr10:	FOXI2
gene 2043/2148 for chr10:	BUB1P1
gene 2044/2148 for chr10:	CLRN3
gene 2045/2148 for chr10:	PTPRE
gene 2046/2148 for chr10:	RP11-4C20.3
gene 2047/2148 for chr10:	RP11-4C20.4
gene 2048/2148 for chr10:	MKI67
gene 2049/2148 for chr10:	LINC01163
gene 2050/2148 for chr10:	RP11-264E18.1
gene 2051/2148 for chr10:	RP11-442O18.2
gene 2052/2148 for chr10:	RP11-442O18.1
gene 2053/2148 for chr10:	RP11-168C9.1
gene 2054/2148 for chr10:	MGMT
gene 2055/2148 for chr10:	RP11-109A6.2
gene 2056/2148 for chr10:	RP11-109A6.3
gene 2057/2148 for chr10:	RP11-109A6.5
gene 2058/2148 for chr10:	EBF3
gene 2059/2148 for chr10:	RP11-234G16.4
gene 2060/2148 for chr10:	MIR4297
gene 2061/2148 for chr10:	RP11-234G16.5
gene 2062/2148 for chr10:	LINC00959
gene 2063/2148 for chr10:	RP11-500G10.5
gene 2064/2148 for chr10:	CTAGE7P
gene 2065/2148 for chr10:	PPIAP32
gene 2066/2148 for chr10:	GLRX3
